date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
05/06/18,United Koreans in Japan,Tuvalu,5,0,CONIFA World Football Cup,Bracknell,England,TRUE
05/06/18,Barawa,Northern Cyprus,0,8,CONIFA World Football Cup,Sutton,England,FALSE
05/06/18,Padania,Panjab,2,0,CONIFA World Football Cup,Bracknell,England,TRUE
05/06/18,Kárpátalja,Cascadia,3,1,CONIFA World Football Cup,Sutton,England,TRUE
05/06/18,Western Armenia,Székely Land,0,4,CONIFA World Football Cup,Bromley,England,TRUE
06/06/18,Norway,Panama,1,0,Friendly,Oslo,Norway,FALSE
06/06/18,Czech Republic,Nigeria,1,0,Friendly,Schwechat,Austria,TRUE
06/06/18,Belgium,Egypt,3,0,Friendly,Brussels,Belgium,FALSE
06/06/18,Belarus,Hungary,1,1,Friendly,Brest,Belarus,FALSE
06/06/18,Zambia,Madagascar,1,0,COSAFA Cup,Polokwane,South Africa,TRUE
06/06/18,Lesotho,Zimbabwe,0,0,COSAFA Cup,Polokwane,South Africa,TRUE
07/06/18,England,Costa Rica,2,0,Friendly,Leeds,England,FALSE
07/06/18,Uruguay,Uzbekistan,3,0,Friendly,Montevideo,Uruguay,FALSE
07/06/18,Portugal,Algeria,3,0,Friendly,Lisbon,Portugal,FALSE
07/06/18,South Korea,Bolivia,0,0,Friendly,Innsbruck,Austria,TRUE
07/06/18,Iceland,Ghana,2,2,Friendly,Reykjavík,Iceland,FALSE
07/06/18,Guadeloupe,French Guiana,0,2,Friendly,Fort-de-France,Martinique,TRUE
07/06/18,India,New Zealand,1,2,Intercontinental Cup,Mumbai,India,FALSE
07/06/18,Tamil Eelam,Tuvalu,4,3,CONIFA World Football Cup,Sutton,England,TRUE
07/06/18,Tibet,Kabylia,1,8,CONIFA World Football Cup,Enfield,England,TRUE
07/06/18,Abkhazia,United Koreans in Japan,2,0,CONIFA World Football Cup,Bromley,England,TRUE
07/06/18,Barawa,Panjab,0,5,CONIFA World Football Cup,Sutton,England,FALSE
07/06/18,Cascadia,Western Armenia,4,0,CONIFA World Football Cup,Bromley,England,TRUE
07/06/18,Northern Cyprus,Padania,3,2,CONIFA World Football Cup,Carshalton,England,TRUE
07/06/18,Kárpátalja,Székely Land,4,2,CONIFA World Football Cup,Carshalton,England,TRUE
08/06/18,Germany,Saudi Arabia,2,1,Friendly,Leverkusen,Germany,FALSE
08/06/18,Croatia,Senegal,2,1,Friendly,Osijek,Croatia,FALSE
08/06/18,Switzerland,Japan,2,0,Friendly,Lugano,Switzerland,FALSE
08/06/18,Lithuania,Iran,0,1,Friendly,Moscow,Russia,TRUE
